,""" Odlučili smo osnovati zajedničku firmu , a uspjeli smo",opstati,True,"na tržištu zahvaljujući hrabrosti da preuzmemo rizik za privatni biznis te odgovornom i profesionalnom odnosu prema klijentima , primjerice , poštivanju rokova ."
,"Domaći mirovinski fondovi očito još neko vrijeme ne mogu računati na nastavak mirovinske reforme u smislu odavno najavljivanog ( i zazivanog ) povećanja stope izdvajanja doprinosa u fondove drugog stupa , ali zato sve aktualnijim",postaje,True,"pitanje uvođenja "" generacijskih portfelja "" ili takozvanih potportfelja s obzirom na dob članova mirovinskih fondova ."
,Poslodavcima koji za svoje zaposlenike uplaćuju u treći stup to,postaje,True,porezno priznati rashod .
,"Savjeti koji se mogu naći u tim brošurama mogu se činiti logičnima i suvišnima , no zbog porasta ovakvih kaznenih djela",postaje,True,očito kako su nekima ipak potrebni .
,"Ramkovski , bivši vlasnik televizijske",postaje,True,"A1 , četiriju novina i drugih poduzeća , osuđen je na Kaznenom sudu u Skoplju 14. ožujka na 13 godina zatvora zbog pranja novca , kriminalne zavjere , zloporabe položaja i utaje poreza ; 19 suučesnika dobilo je zatvorske kazne u trajanju od dvije do sedam godina ."
,"Neki novinari , a posebice bivši zaposlenici A1 TV , tvrde da taj slučaj , pod nazivom "" Paukova mreža "" , predstavlja borbu između vlade i tada najmoćnije televizijske",postaje,True,"u Makedoniji , koja je kritizirala njezinu politiku i podupirala oporbu ."
,""" Bugarska će morati platiti cijenu toga što",postaje,True,"ruski trojanski konj u EU "" ."
,""" Što je europski proces življi , to Turska",postaje,True,"demokratskija "" , kazao je Droutsas ."
,"Tijekom prezentacije projekta suradnje u ožujku , ravnateljica Documenta Vesna Teršelič kazala je kako velikom broju ljudi",postaje,True,neugodno kada dođe do priznanja odgovornosti za određeni zločin .
,Dvanaestog srpnja na policijsku,postaju,True,"u selu Vratnica , u blizini Tetova , ispaljene su tri granate iz ručnog raketnog bacača ."
,""" Napad na policijsku",postaju,True,"u selu Vratnica predstavlja provokaciju jedne ekstremističke skupine , koja je vjerojatno dio neke od malobrojnih ekstremističkih skupina koje djeluju u regiji i u Makedoniji "" , izjavio je premijer Vlado Bučkovski ."
,""" Učinit ću to kako bi se mogla otkriti potpuna istina "" , rekao je u intervjuu za privatnu TV",postaju,True,bTV iz Sofije .
,Dana 24. prosinca 1861. May je požurio na željezničku,postaju,True,", pa pravac doma ."
,Aktualni pomoćnici,postaju,True,"obični službenici , najvjerojatnije voditelji službi i plaća će im pasti za oko tri tisuće kuna ."
,"Klarini , a skupa s njom i Franjini naumi",postaju,True,pomalo jasniji : ne odgovara joj ni samostan Svetoga Anđela .
,Za vrijeme Daraboševa mandata Denim proizvodi,postaju,True,jedan od vodećih Levisovih kontraktora u Europi .
,Muškarci koji gledaju pornografiju,postaju,True,impotentni .
,Kampanja je prošlog tjedna,postala,True,"prljava , a suprotstavljeni su tabori razmjenjivali osobne napade ."
,"Situacija je drugačija na Kosovu , gdje je srpska zajednica",postala,True,manjina nakon 1999. godine .
,"Vezu održavaš ti jer mi žene ipak "" još malo pokušamo "" dati sebe da bi nekim čudom veza",postala,True,bolja .
,Teroristička prijetnja s kojom se svijet suočava danas,postala,True,"je "" puno složenija i raznolikija "" , izjavio je novinarima u Bruxellesu ."
,"Pokrenuta prije više od godinu dana , kroz platformu 3D Secure već je prošlo 4 milijuna dolara u transakcijama , čime je Rumunjska",postala,True,pionir u jugoistočnoj Europi .
,Tužitelj tvrdi kako je Stranka pravde i razvitka ( AKP ),postala,True,""" središte "" djelovanja kojima se podriva sekularizam , te kako stranka ima "" skrivenu nakanu "" usmjerenu na pretvaranje Turske u islamsku državu ."
,Ova skupina,postala,True,"je najozbiljnija unutarnja prijetnja za Grčku od kada je raspuštena teroristička organizacija 17. studeni , koja je ubila velik broj osoba tijekom dva desetljeća , prije nego je razotkrivena i razbijena ."
,Ta je aplikacija u manje od mjesec dana,postala,True,jedna od najpopularnijih hrvatskih aplikacija na toj društvenoj mreži .
,Depresije su u životu Jadranke R.,postale,True,"svakodnevnica , nerijetko je pomišljala na samoubojstvo , a u kakvoj-takvoj normali održavali su je Prozac i goleme količine raznih antidepresiva ."
,Članovi Vijeća,postali,True,su dvojica sudaca Vrhovnog suda -- Vasil Grčev i Bekir Iseni .
,""" Da stvari budu lošije , najmoćniji autoritarni režimi",postali,True,"su represivniji , utjecajni na međunarodnoj sceni i beskompromisniji "" ."
,I Zagrepčanima i tvrtkama u glavnom gradu ti sukobi već su,postali,True,"stvar na koju ne obraćaju pozornost , a mnogi i ne razumiju njihovu prirodu ."
,Takav je pristup upalio jer su oba filma,postali,True,"hitovi i iznjedrili filmske serijale , a Besson je svojedobno završio i kao predmet istrage , nakon što je na snimanju nastavka poginuo jedan kaskader ."
,Zbog toga su kosovski proizvodi,postali,True,skuplji na albanskom tržištu .
,Više od dvije trećine Grka kaže kako su,postali,True,"siromašniji , a slični se rezultati bilježe i u susjednim zemljama ."
,"Neželjena pošta jedan je od najvećih problema računalnog doba , a kako ne biste i sami",postali,True,"žrtvom zatrpanog sandučića e-pošte neželjenim porukama , kada se prijavljujete na formulare , koristite privremene e-mail adrese poput ove ."
,"Tukidid piše : Zdravi ljudi odjednom su dobili vrućicu u glavi , crvenilo i upalu u očima , unutrašnji dijelovi tijela poput grla i jezika",postali,True,su im krvavi i iz njih se širio neugodan zadah .
,""" Podignuli smo svoj glas tražeći poboljšanje socijalne i gospodarske situacije romskih građana , njihova obrazovanja , zdravstva , infrastrukture , smještaja , zapošljavanja , što je",postalo,True,"dio nacionalne strategije za poboljšanje uvjeta života za Rome "" , rekao je Veliu ."
,Zlostavljanje na radu,postalo,True,je raširena pojava u Srbiji .
,"S obzirom da su poslodavci u jačem položaju , neki kažu kako je zlostavljanje na radnom mjestu -- uključujući zastrašivanje i skupno psihološko napastovanje --",postalo,True,učestalije .
,""" Na temelju ranijeg zakona",postalo,True,"je očito kako je za prodaju nekretnine prema staroj sudskoj proceduri trebalo između tri do pet godina , dok će sada to biti moguće u razdoblju od tri do šest mjeseci "" , kazao je ministar ."
,Naglasio je i kako se Microsoft trudi i nastavlja truditi da tehnologija Kinecta,postane,True,dostupnija akademskim primjenama i inovacijama .
,"Charles je svoju dugogodišnju ljubavnicu Camillu , s kojom je imao vezu cijelo vrijeme tijekom braka , oženio prije pet godina i službeno je odlučeno da će ona imati službeni naslov "" princeze supruge "" ako Charles",postane,True,kraljem .
,"Jedanput je "" izrazio želju da",postane,True,"belgijski predsjednik "" ."
,Tek onda na ovo područje mogu doći manji bageri koji bi ovaj dio uredili tako da,postane,True,"ugodan za boravak , objašnjava Starac koji pod time smatra uklanjanje smeća , ali što je još važnije , i konzerviranje bedema koji je ovako iskopan zapravo potpuno nezaštićen i prijeti mu urušavanje ."
,Republika Makedonija iskrena je i odlučna u želji da,postane,True,članica NATO-a .
,Sljedeća tri mjeseca bit će ključna za hrvatsku kandidaturu da,postane,True,"28. članica EU 2010. godine , izjavio je visoki dužnosnik Europske komisije ( EC ) u utorak ( 8. travnja ) , pozivajući Zagreb na ubrzanje reformskih napora ."
,"Bugarska , Grčka i Rusija suglasile su se o izgradnji novog transbalkanskog naftovoda kojim će se , kada",postane,True,"operativan 2008. godine , prema očekivanjima , smanjiti pritisak na Bospor ."
,Glavni tajnik NATO-a Anders Fogh Rasmussen izjavio je u listopadu 2009. godine kako Savez želi da Srbija,postane,True,članica .
,Na Kongresu je problematizirana ideja da nekonvencionalne metode liječenja,postanu,True,dio svakodnevne prakse i da se odrede kriteriji za dobivanje licence .
,"Oni koji to prihvate lako se izliječe , ali oni koji to ne žele prihvatiti dobivaju sve više bolesti koje privremeno zatomljuju lijekovima dok ne",postanu,True,"kronične , a na kraju dobivaju rak ."
,Samo takav pristup omogućuje priznatim stručnjacima da,postanu,True,"priznati i u svojoj novoj , rukovoditeljskoj ulozi ."
,"Barroso , koji je",postao,True,"11. predsjednik EK u studenom 2004. godine , dobio je 16. rujna odobrenje Europskog parlamenta ( EP ) za drugi petogodišnji mandat ."
,Vučjak je,postao,True,"i opstao kao društveno stanje , način samopoimanja ."
,Peder ne misli da mu je sin rođen da bi,postao,True,"Eduardo ili Srna ili predsjednik Europe , peder želi da mu sin bude sretan ."
,Žuljević je javnosti,postao,True,poznat
,SDP je,postao,True,najjača stranka na političkoj sceni u BiH na posljednjim općim izborima 2010. godine .
,Prosvjed je,postao,True,nasilan kasnije te večeri nakon što su tisuće prosvjednika poharale i opljačkale dio zgrade državne televizije .
,Internet je već,postao,True,mjesto za oštru raspravu između Saveza neovisnih socijaldemokrata ( SNSD ) i oporbenih stranka u RS .
,"Vlade Divac , poznati bivši košarkaš koji je",postao,True,"poduzetnik , ostvario je veliku pobjedu odlukom Vrhovnog suda Srbije koja će mu možda omogućiti kupovinu najtiražnijih novina u zemlji -- beogradskog dnevnika Večernje novosti ."
,Istraživanja dolaze dan nakon što je Charles u televizijskom intervjuu izjavio da bi Camilla mogla,postati,True,kraljicom ukoliko on bude okrunjen za kralja .
,Neke zemlje članice eurozone presporo se prilagođavaju ekonomskim promjenama što stvara opasnost da bi jaz između brzo i sporo rastućih zemalja mogao,postati,True,"velik tijekom vremena , osim ako ritam strukturalnih reformi ne bude ubrzan , kaže se u prvom Komisijinom godišnjem izvješću o eurozoni ."
,"Osim toga , tri zemlje koje se nadaju prijamu u Savez -- Albanija , Hrvatska i Makedonija -- pohvaljene su za napredak kojeg su nedavno postigle , ali im nije navješteno kada bi mogle",postati,True,članice NATO-a .
,"U međuvremenu , američka državna tajnica Condoleezza Rice , čija je zemlja izrazila snažnu potporu Ahtisaarijevu planu , odlučno je izjavila u četvrtak kako će Kosovo na kraju",postati,True,"neovisno , na jedan ili drugi način ."
,""" U praktičnom smislu , ova će zemlja",postati,True,"neupotrebljiva "" , izjavio je za SETimes Petko Kovačev , aktivist iz Stranke zelenih ."
,Galeb bi trebao ostati usidren u riječkoj luci i,postati,True,turistička atrakcija .
,"Mogu li Bugarska , Rumunjska ili Srbija",postati,True,"novo "" "" brazilsko čudo "" "" ?"
,On je pohvalio doprinos makedonskih vojnika koji se nalaze u misijama u inozemstvu i izrazio nadu kako će Makedonija,postati,True,članicom NATO-a odmah nakon rješavanja spora .
,Od 1957. do 1962. organizira i vodi rekonstrukciju i dogradnju zgrade Muzeja te zajedno sa stručnim timom MUO-a izrađuje koncepciju i plan realizacije novog stalnog,postava,True,Muzeja .
,"- Izložba promiče antičke rimske autore , rimsku religiju te antičku kulturu i civilizaciju budući da su izložena djela koja tretiraju antičku kulturu i filozofiju , kazala je autorica",postava,True,izložbe Karmen Damljanović .
